,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
74,lata,1,IN,1570050450,85,30.78,78.62,-0.36,0.69
75,hermanus,99,ZA,1570050169,96,-34.42,19.24,15.0,0.45
76,iqaluit,75,CA,1570050450,75,63.75,-68.52,4.0,5.1
77,wucheng,0,CN,1570050451,88,29.09,119.57,20.06,1.11
78,bethel,90,US,1570050451,93,60.79,-161.76,9.0,5.7
79,castro,20,CL,1570050451,50,-42.48,-73.76,11.0,2.6
80,kalianget,86,ID,1570050451,96,-7.35,109.91,20.75,0.53
81,deputatskiy,100,RU,1570050185,87,69.3,139.9,-6.14,10.91
82,bani,0,YE,1570050452,66,16.02,42.93,30.74,0.6
83,sitka,54,US,1570050452,97,37.17,-99.65,12.78,7.15
84,klaksvik,0,FO,1570050452,81,62.23,-6.59,7.0,0.5
85,jalu,0,LY,1570050017,28,29.03,21.55,25.9,5.05
86,hobart,0,AU,1570050337,62,-42.88,147.33,13.33,4.6
87,cowra,0,AU,1570050453,68,-33.84,148.69,12.33,1.82
88,mys shmidta,93,RU,1570050453,94,62.06,48.62,6.42,2.02
89,coquimbo,0,CL,1570050044,51,-29.95,-71.34,16.0,6.2
90,muisne,40,EC,1570050161,78,0.61,-80.02,27.0,4.6
91,laguna,40,BZ,1570050150,79,16.17,-88.94,30.0,2.1
92,havre-saint-pierre,75,CA,1570050454,36,50.23,-63.6,9.0,4.1
93,ashqelon,0,IL,1570050166,69,31.67,34.57,24.0,3.1
94,saldanha,16,PT,1570050171,48,41.42,-6.55,16.4,0.95
95,poli,66,CM,1570050455,93,8.48,13.24,22.1,0.9
96,inhambane,0,MZ,1570050023,88,-23.87,35.38,15.93,1.9
97,uruzgan,0,AF,1570050455,45,32.93,66.63,5.81,1.05
98,ahipara,42,NZ,1570050455,89,-35.17,173.16,12.78,7.61
99,aykhal,90,RU,1570049977,100,65.95,111.51,-6.0,2.0
100,hithadhoo,100,MV,1570050456,81,-0.6,73.08,27.71,7.67
101,luwuk,7,ID,1570050456,96,-0.95,122.79,15.66,1.36
102,carnarvon,0,ZA,1570050175,18,-30.97,22.13,15.24,3.65
103,straumen,75,NO,1570050456,87,63.87,11.3,7.78,1.5
104,lazaro cardenas,20,MX,1570049973,41,29.05,-111.04,33.89,3.6
105,faya,0,SA,1570050170,88,18.39,42.45,19.0,1.22
106,sumeg,75,HU,1570050457,100,46.98,17.28,13.0,2.1
107,comodoro rivadavia,100,BR,1570050303,72,-13.66,-59.79,25.49,3.47
108,yevsino,11,RU,1570050457,76,54.42,83.32,2.45,3.36
109,new norfolk,75,LR,1570050435,94,6.65,-10.59,25.0,3.31
110,salalah,40,OM,1570050457,78,17.01,54.1,27.0,2.1
111,esperance,75,AU,1570050206,93,-33.86,121.89,14.0,3.6
112,tokmak,0,UA,1570050457,58,47.26,35.7,13.74,3.94
113,constitucion,75,MX,1570050458,27,23.99,-104.67,26.0,5.1
114,sao joao da barra,31,IN,1570050458,97,20.51,76.21,21.83,2.54
115,hirara,0,JP,1570050229,82,24.8,125.28,26.82,3.1
116,malanje,75,AO,1570050018,82,-9.54,16.35,20.04,2.01
117,marovoay,0,MG,1570049998,78,-16.11,46.64,27.0,1.5
118,tuatapere,100,NZ,1570050458,93,-46.13,167.69,6.67,1.79
119,dwarka,40,IN,1570049834,78,28.58,77.04,26.0,2.66
120,victoria,75,BN,1570050459,83,5.28,115.24,26.0,2.1
121,abu samrah,96,JP,1570050459,81,34.51,131.49,25.19,11.52
122,atambua,41,ID,1570050459,75,-9.11,124.89,24.65,1.83
123,san patricio,35,ML,1570050300,60,13.3,-4.9,27.65,3.55
124,cayenne,86,GF,1570050459,58,4.94,-52.33,31.0,4.1
125,burnie,0,AU,1570050460,69,-41.05,145.91,11.67,1.34
126,clyde river,100,NZ,1570050460,67,-45.19,169.32,3.89,0.45
127,katsuura,75,JP,1570050460,83,33.93,134.5,25.0,12.9
128,gat,90,SN,1570050460,83,14.69,-16.54,28.0,3.6
129,ingham,100,AU,1570050230,94,-18.65,146.16,18.77,0.55
130,bereznik,89,RU,1570050461,93,62.86,42.71,4.67,3.82
131,dillon,1,US,1570050461,48,45.22,-112.64,8.33,6.2
132,hastings,0,NZ,1570050185,62,-39.64,176.84,8.28,5.34
133,isangel,90,VU,1570050461,88,-19.55,169.27,21.0,8.23
134,vanimo,98,PG,1570050461,76,-2.67,141.3,27.07,1.71
135,cedar city,1,US,1570050462,15,39.39,-110.45,21.67,3.1
136,launceston,0,AU,1570050462,93,-41.43,147.14,8.89,1.5
137,nipawin,90,CA,1570050462,52,53.36,-104.02,8.0,4.1
138,carballo,0,ES,1570050462,93,43.21,-8.69,16.11,1.5
139,alofi,75,NU,1570050463,78,-19.06,-169.92,26.0,1.5
140,jiayuguan,96,CN,1570050319,19,39.77,98.29,9.14,2.09
141,chapais,90,CA,1570050463,56,49.78,-74.86,5.0,2.6
142,hasaki,75,JP,1570050463,93,35.73,140.83,17.78,1.0
143,vila velha,0,IT,1570050232,87,45.18,8.4,19.44,4.1
144,nemuro,66,JP,1570050464,92,43.32,145.57,16.94,6.31
145,severo-kurilsk,100,RU,1570050464,93,50.68,156.12,8.99,6.41
146,kieta,68,PG,1570050230,79,-6.22,155.63,27.21,3.41
147,kakogawa,99,JP,1570050465,88,34.79,134.85,25.0,0.5
148,komsomolskiy,61,RU,1570050465,83,67.55,63.78,3.49,8.97
149,alekseyevsk,74,RU,1570050465,93,57.84,108.35,-1.99,3.56
150,lincoln,75,GB,1570050466,76,53.23,-0.54,10.0,2.6
151,powell,75,US,1570049971,33,40.16,-83.08,34.44,6.2
152,saurimo,80,AO,1570050466,65,-9.66,20.4,20.08,1.01
153,ghanzi,0,BW,1570050466,26,-21.7,21.65,17.15,3.26
154,san cristobal,35,ML,1570050300,60,13.3,-4.9,27.65,3.55
155,broome,75,GB,1570050467,76,52.47,1.45,10.56,4.1
156,abaete,0,BR,1570050240,26,-19.16,-45.45,29.37,3.15
157,coihaique,40,CL,1570049907,46,-45.58,-72.07,11.0,3.6
158,fortuna,40,US,1570050468,51,40.6,-124.16,20.56,4.6
159,port hardy,6,CD,1570050468,78,-7.04,29.76,19.47,1.21
160,east london,100,UG,1570050468,94,3.43,31.7,20.86,0.97
161,murupara,0,NZ,1570050468,61,-38.46,176.71,10.56,0.89
162,jamestown,0,AU,1570050268,91,-33.21,138.6,9.07,1.57
163,mar del plata,26,CN,1570050469,71,29.86,90.73,0.61,1.48
164,oranjemund,0,ZA,1570050469,93,-28.55,16.43,14.18,3.56
165,chuy,100,UY,1570050196,88,-33.69,-53.46,12.65,10.68
166,reconquista,100,AR,1570050469,93,-29.14,-59.64,14.59,5.96
167,kaitangata,100,NZ,1570050470,62,-46.28,169.85,8.89,1.79
168,puro,100,PH,1570050470,87,13.13,123.76,24.73,1.8
169,mashhad,0,IR,1570050470,38,36.3,59.61,15.0,2.1
170,udachnyy,90,RU,1570050470,100,66.42,112.4,-6.0,2.0
171,vao,100,EE,1570050471,75,59.1,26.19,7.12,2.36
172,aksarka,52,RU,1570049975,81,66.56,67.8,5.2,7.45
173,monrovia,75,LR,1570050471,94,6.33,-10.8,25.0,3.31
174,shunyi,0,CN,1570050471,100,40.13,116.65,24.44,2.0
175,ponta do sol,77,BR,1570050471,67,-0.53,-65.05,28.84,0.92
176,huaral,90,PE,1570050472,77,-11.5,-77.21,19.0,3.1
177,urusha,99,RU,1570050231,66,54.05,122.9,-2.31,1.27
178,brae,67,GB,1570050185,93,60.4,-1.35,10.0,6.2
179,aksay,87,KZ,1570050472,71,51.17,53.01,10.61,2.94
180,victor harbor,90,US,1570050473,55,43.6,-111.11,9.44,5.1
181,san pedro,35,ML,1570050018,60,13.3,-4.9,27.65,3.55
182,costa rica,5,IT,1570050473,82,44.07,8.05,19.0,2.1
183,provideniya,90,RU,1570050473,81,64.42,-173.23,6.0,8.0
184,longyearbyen,75,NO,1570050473,92,78.22,15.63,0.0,6.7
185,nanortalik,100,GL,1570050473,74,60.14,-45.24,5.99,1.08
186,tiksi,99,RU,1570050474,92,71.64,128.87,-2.7,10.18
187,halapitan,94,PH,1570050474,13,7.95,125.32,22.78,0.84
188,butaritari,100,KI,1570050474,62,3.07,172.79,29.25,2.32
189,uige,79,AO,1570050475,91,-7.61,15.06,20.37,0.75
190,hay river,0,AU,1570050475,42,-34.51,144.84,17.52,7.71
191,punta alta,40,PH,1570050475,88,14.18,121.12,24.0,1.5
192,hami,100,CN,1570050475,23,42.84,93.51,13.48,2.78
193,baker city,90,US,1570050475,93,46.37,-104.28,3.0,6.2
194,mayo,75,CA,1570050212,81,63.59,-135.9,7.0,1.48
195,seminole,75,US,1570050476,54,32.72,-102.64,29.44,2.6
196,vardo,1,US,1570050476,38,39.62,-77.74,34.0,5.1
197,faanui,99,PF,1570050476,75,-16.48,-151.75,25.01,7.42
198,port lincoln,6,CD,1570050302,78,-7.04,29.76,19.47,1.21
199,raymond terrace,20,CA,1570050477,69,49.47,-112.67,3.0,5.1
200,belmonte,67,PT,1570050064,67,40.36,-7.35,13.89,1.29
201,capaci,20,IT,1570050477,65,38.17,13.24,25.0,5.7
202,srandakan,100,ID,1570050477,90,-7.94,110.25,23.89,2.01
203,kodiak,90,US,1570050477,74,39.95,-94.76,27.22,3.1
204,maniitsoq,100,GL,1570050478,58,65.42,-52.9,6.55,3.49
205,xuddur,67,SO,1570050478,72,4.12,43.89,24.57,6.78
206,palmer,75,AU,1570049971,82,-34.85,139.16,14.44,2.1
207,hofn,89,IS,1570050478,92,64.25,-15.21,-3.59,0.59
208,mount isa,0,GB,1570050058,81,53.66,-1.85,9.0,3.1
209,bambous virieux,75,MU,1570050479,88,-20.26,57.41,24.0,5.1
210,kamaishi,100,JP,1570050479,76,39.28,141.86,13.19,0.71
211,concordia,90,AR,1570050480,87,-31.4,-58.02,16.11,5.1
212,kasempa,100,ZM,1570050480,63,-13.46,25.83,20.54,4.02
213,lima,90,PE,1570050399,77,-12.06,-77.04,19.0,3.1
214,buala,100,SB,1570050480,82,-8.15,159.59,26.38,5.8
215,sorland,20,NO,1570050480,64,67.67,12.69,2.0,2.6
216,waingapu,25,ID,1570050481,94,-9.65,120.26,20.93,2.9
217,katobu,28,ID,1570050481,95,-4.94,122.53,21.65,1.53
218,zyryanovsk,0,KZ,1570050481,31,49.74,84.27,-0.49,1.59
219,nelas,98,PT,1570050481,85,40.53,-7.86,17.22,0.45
220,lerdo,25,MX,1570050481,76,18.63,-95.52,28.89,4.92
221,lichuan,100,CN,1570050482,69,30.3,108.94,20.22,2.32
222,sao jose da coroa grande,31,IN,1570050029,97,20.51,76.21,21.83,2.54
223,roald,75,NO,1570050482,76,62.58,6.12,9.0,5.7
224,maceio,20,BR,1570050153,69,-9.67,-35.74,26.0,6.7
225,vasai,100,IN,1570050482,77,22.43,69.93,27.8,5.83
226,quetta,0,PK,1570050483,53,30.19,67.02,16.52,1.99
227,terrace bay,90,CA,1570050439,93,54.52,-128.61,8.0,1.5
228,corner brook,75,US,1570050483,30,33.8,-86.94,37.22,3.6
229,aasiaat,100,GL,1570049997,64,68.71,-52.87,6.33,11.98
230,caucaia,0,BR,1570050482,61,-3.73,-38.66,28.0,7.2
231,talnakh,75,RU,1570050483,94,69.49,88.39,1.0,2.0
232,enkoping,90,SE,1570050483,93,59.64,17.08,6.67,4.1
233,puerto escondido,75,AR,1570049819,57,-51.62,-69.23,11.0,10.8
234,gondanglegi,64,ID,1570050484,96,-7.75,112.01,21.67,2.38
235,bastrop,75,US,1570050484,39,32.78,-91.91,36.11,1.2
236,ahuimanu,40,US,1570050484,66,21.44,-157.84,30.0,5.7
237,tautira,20,PF,1570050022,65,-17.73,-149.15,27.0,2.1
238,ilulissat,75,GL,1570050484,27,69.22,-51.1,11.0,9.8
239,kargopol,92,RU,1570050485,94,61.51,38.95,4.68,1.42
240,mahon,75,IE,1570050006,81,51.89,-8.4,8.0,3.1
241,saint-philippe,90,CA,1570050485,62,45.36,-73.48,12.78,4.1
242,nabire,27,ID,1570050485,95,-3.36,135.5,19.25,0.46
243,dunedin,100,NZ,1570050485,62,-45.87,170.5,9.44,8.94
244,berlevag,75,NO,1570050004,74,70.86,29.09,3.0,8.7
245,trairi,9,BR,1570050486,65,-3.28,-39.27,24.68,2.69
246,montevideo,90,US,1570050293,87,44.94,-95.72,10.0,4.1
247,vestmannaeyjar,100,IS,1570050486,75,63.44,-20.27,7.78,17.96
248,mandalgovi,100,MN,1570050014,81,45.76,106.27,-1.62,9.04
249,joshimath,0,IN,1570050487,74,30.57,79.57,7.36,1.65
250,saskylakh,1,RU,1570050487,84,71.97,114.09,-9.69,0.73
251,norman wells,1,US,1570050487,52,35.22,-97.44,33.0,7.7
252,yeppoon,47,AU,1570050487,72,-23.13,150.74,18.0,3.1
253,akonolinga,100,CM,1570050488,98,3.77,12.24,19.98,1.27
254,port blair,6,CD,1570050468,78,-7.04,29.76,19.47,1.21
255,tieli,75,CN,1570050488,71,46.98,128.05,9.92,5.64
256,bako,0,BF,1570050488,68,12.29,-0.73,27.19,2.99
257,portland,75,US,1570049752,71,43.66,-70.25,15.0,2.6
258,pampa,40,US,1570050433,48,35.54,-100.96,30.0,5.7
259,bathsheba,20,BB,1570050415,62,13.22,-59.52,31.0,7.2
260,bereda,0,ES,1570050489,93,43.27,-7.54,15.0,1.5
261,troina,0,IT,1570050489,83,37.79,14.6,23.33,3.1
262,dingle,95,PH,1570050023,91,11.0,122.67,22.82,1.12
263,baykit,100,RU,1570050218,98,61.68,96.39,1.1,2.31
264,anadyr,20,RU,1570050489,80,64.73,177.51,-1.0,7.0
265,sambava,100,MG,1570050490,94,-14.27,50.17,20.36,1.23
266,sokolo,45,ML,1570050490,38,14.74,-6.12,32.43,4.52
267,sokolka,33,RU,1570050490,77,52.46,43.89,9.68,3.5
268,sao miguel do araguaia,31,IN,1570049928,97,20.51,76.21,21.83,2.54
269,ixtapa,75,MX,1570050491,66,20.71,-105.21,30.0,5.1
270,college,90,US,1570049962,100,64.86,-147.8,3.0,4.1
271,tomatlan,73,MX,1570050491,75,19.93,-105.25,27.84,1.6
272,buraydah,0,SA,1570050491,29,26.33,43.97,31.0,4.45
273,lavrentiya,66,RU,1570050491,80,65.58,-170.99,3.47,6.08
274,ostrovnoy,97,RU,1570050492,73,68.05,39.51,1.33,9.23
275,bonthe,100,SL,1570050492,87,7.53,-12.5,25.77,3.29
276,pankrushikha,26,RU,1570050492,77,53.83,80.35,3.58,2.67
277,codrington,0,AU,1570050492,93,-28.95,153.24,14.44,3.6
278,trelew,33,AR,1570050410,20,-43.25,-65.31,13.14,4.07
279,cabrero,40,CL,1570050493,44,-37.04,-72.4,15.0,5.1
280,ayorou,2,NE,1570050484,43,14.73,0.92,30.77,3.81
281,emerald,90,AU,1570050493,82,-23.53,148.16,17.0,3.1
282,camopi,10,GF,1570050493,37,3.17,-52.33,31.44,3.0
283,pangnirtung,75,CA,1570050199,93,66.15,-65.72,3.0,3.6
284,iskar,20,BG,1570050493,88,43.39,27.48,18.0,2.1
285,yar-sale,100,RU,1570050209,93,66.83,70.83,7.97,6.31
286,isoka,0,ZM,1570050494,81,-10.15,32.64,19.33,4.7
287,shubarshi,39,KZ,1570050494,31,48.59,57.19,9.71,4.03
288,najran,20,SA,1570050069,34,17.54,44.22,26.0,2.1
289,souillac,0,FR,1570050494,93,45.6,-0.6,15.0,2.1
290,san jose,35,ML,1570049782,60,13.3,-4.9,27.65,3.55
291,mitsamiouli,0,KM,1570050039,80,-11.38,43.28,25.75,4.87
292,kloulklubed,40,PW,1570049963,94,7.04,134.26,24.0,1.63
293,russell,90,US,1570050495,87,38.9,-98.86,14.0,5.1
294,san jeronimo,35,ML,1570050300,60,13.3,-4.9,27.65,3.55
295,shimoda,4,JP,1570050495,89,34.7,138.93,20.0,2.16
296,utete,11,TZ,1570050496,79,-7.99,38.76,25.58,2.23
297,grand river south east,0,FR,1570050496,87,48.39,5.49,12.0,3.1
298,naze,100,NG,1570050496,97,5.43,7.07,22.72,1.39
299,lithakia,20,GR,1570050496,77,37.72,20.83,24.0,1.5
300,ekhabi,48,RU,1570050497,62,53.51,142.97,4.89,11.77
301,angoram,32,PG,1570050497,97,-4.06,144.07,22.8,0.71
302,buzuluk,29,RU,1570050497,94,52.79,52.25,8.36,2.46
303,shaowu,0,CN,1570050498,67,27.34,117.49,20.72,1.12
304,ponta delgada,77,BR,1570050471,67,-0.53,-65.05,28.84,0.92
305,frutal,0,BR,1570050498,27,-20.02,-48.93,32.14,2.95
306,pimenta bueno,0,BR,1570050498,45,-20.48,-45.8,25.57,2.85
307,cabedelo,0,BR,1570050157,61,-6.97,-34.84,27.0,4.1
308,sao domingos,31,IN,1570050458,97,20.51,76.21,21.83,2.54
309,krasnyy kut,80,RU,1570050498,69,53.81,40.7,12.78,1.79
310,ishurdi,9,BD,1570050499,85,24.13,89.07,24.77,2.2
311,morant bay,40,JM,1570050499,79,17.9,-76.43,29.0,4.6
312,lac du bonnet,0,RO,1570050499,64,44.61,23.07,21.11,1.46
313,rio grande,90,US,1570050499,88,41.11,-90.4,23.33,4.6
314,perevolotskiy,88,RU,1570050500,61,51.88,54.19,10.15,3.65
315,vila do maio,0,IT,1570050505,87,45.18,8.4,19.44,4.1
316,san quintin,35,ML,1570050300,60,13.3,-4.9,27.65,3.55
317,boa vista,100,CM,1570050040,82,4.43,8.97,25.66,3.65
318,puerto leguizamo,75,AR,1570050234,57,-51.62,-69.23,11.0,10.8
319,port macquarie,6,CD,1570049742,78,-7.04,29.76,19.47,1.21
320,bajil,98,ES,1570050506,62,38.23,-2.07,12.22,1.79
321,mehamn,90,NO,1570050506,69,71.03,27.85,4.0,6.7
322,vanavara,100,RU,1570049988,97,60.35,102.28,0.98,4.24
323,athabasca,18,CA,1570050507,54,54.72,-113.29,9.08,3.03
324,labuhan,64,ID,1570050239,93,-2.54,115.51,21.6,0.71
325,namatanai,88,PG,1570050507,81,-3.66,152.44,26.0,2.0
326,luau,11,CD,1570050507,58,-10.7,22.23,22.78,2.01
327,kavaratti,22,IN,1570049989,76,10.57,72.64,27.58,3.48
328,ous,100,RU,1570050508,92,60.91,61.52,8.18,3.38
329,lagos,100,NG,1570050032,95,6.46,3.39,23.9,0.54
330,san policarpo,35,ML,1570050307,60,13.3,-4.9,27.65,3.55
331,bonfim,0,BR,1570050508,27,-20.33,-44.24,31.0,6.2
332,gimli,49,CA,1570050291,75,50.63,-96.99,6.67,2.62
333,lahat,49,ID,1570050509,79,-3.78,103.55,19.1,1.3
334,virginia,90,US,1570050509,58,39.95,-90.21,30.56,3.1
335,umea,90,SE,1570050509,86,63.83,20.26,3.0,6.2
336,san rafael,35,ML,1570050509,60,13.3,-4.9,27.65,3.55
337,grand-santi,84,GF,1570050510,48,4.27,-54.38,29.74,0.62
338,ust-karsk,0,RU,1570050215,63,52.71,118.82,-3.19,1.07
339,capitan bado,1,US,1570050510,30,33.55,-105.57,22.78,3.6
340,uvarovo,74,RU,1570050510,76,51.99,42.26,10.64,3.7
341,san lawrenz,35,ML,1570050510,60,13.3,-4.9,27.65,3.55
342,murray bridge,1,US,1570050262,43,40.67,-111.89,15.56,2.21
343,puerto del rosario,75,AR,1570050235,57,-51.62,-69.23,11.0,10.8
344,taoudenni,0,ML,1570049983,8,22.68,-3.98,34.5,3.23
345,luderitz,0,NA,1570050511,91,-26.65,15.16,13.14,8.26
346,fort nelson,100,IN,1570050511,87,17.96,79.61,24.06,0.83
347,goderich,88,CA,1570049989,87,43.74,-81.71,16.11,2.68
348,hualmay,65,PE,1570050511,88,-11.1,-77.61,16.67,7.04
349,havelock,1,US,1570050510,58,34.88,-76.9,32.78,4.6
350,kununurra,0,AU,1570050512,77,-15.77,128.74,18.0,2.17
351,key west,90,US,1570050512,54,32.73,-101.8,32.78,3.1
352,aklavik,40,CA,1570050512,80,68.22,-135.01,5.0,5.1
353,tuktoyaktuk,75,CA,1570050512,100,69.44,-133.03,4.0,4.6
354,soligalich,83,RU,1570050513,89,59.08,42.29,5.92,3.39
355,nadym,100,RU,1570050513,93,65.53,72.51,8.42,8.63
356,olenegorsk,34,RU,1570050513,86,68.14,33.28,-0.7,2.29
357,north myrtle beach,100,NG,1570050513,95,4.97,7.66,22.42,0.88
358,rosarito,75,CO,1570050468,61,4.91,-75.23,27.0,3.6
359,aldan,93,RU,1570050514,84,58.61,125.39,-3.07,2.82
360,lalmohan,1,BD,1570050514,86,22.34,90.74,25.83,1.18
361,gravdal,100,NO,1570050026,87,59.79,5.78,9.44,1.0
362,cap malheureux,75,FR,1570050514,70,49.27,-1.21,10.0,0.46
363,kidodi,0,TZ,1570050515,78,-7.6,37.0,21.61,1.57
364,yining,0,CN,1570049978,63,29.04,114.56,19.03,0.46
365,lasa,40,CY,1570050007,77,34.92,32.53,23.0,3.1
366,altamira,33,BR,1570050300,49,-3.2,-52.21,31.11,2.08
367,ballarat,0,AU,1570050515,39,-37.56,143.86,20.0,1.79
368,villaviciosa,75,ES,1570050515,87,43.48,-5.43,17.78,0.5
369,nara,94,JP,1570050516,88,34.68,135.8,24.44,0.5
370,chilliwack,1,CA,1570050230,48,49.17,-121.95,17.22,2.6
371,diamantino,100,BR,1570050516,79,-14.4,-56.44,24.79,2.33
372,qinhuangdao,0,CN,1570050516,52,39.94,119.59,18.48,2.41
373,akdepe,0,TM,1570050516,43,42.05,59.39,10.0,2.1
374,kalispell,1,US,1570050517,38,48.2,-114.32,10.56,4.1
375,guerrero negro,90,AR,1570050517,59,-24.19,-65.45,16.0,3.6
376,margate,0,AU,1570050005,62,-43.03,147.26,13.33,4.6
377,guadalupe,40,MX,1570050517,48,25.68,-100.26,31.0,4.6
378,trud,20,BG,1570050518,59,42.23,24.73,19.0,2.6
379,englewood,20,US,1570050518,45,39.65,-104.99,18.89,3.1
380,longford,0,AU,1570050518,93,-41.59,147.12,8.89,1.5
381,port augusta,6,CD,1570050468,78,-7.04,29.76,19.47,1.21
382,hervey bay,20,US,1570050519,36,33.5,-93.78,35.0,4.1
383,kirakira,100,SB,1570050519,87,-10.46,161.92,24.41,4.0
384,arkadelphia,20,US,1570050488,30,34.12,-93.05,37.0,2.6
385,aripuana,89,BR,1570050304,62,-9.17,-60.63,29.69,0.63
386,qaqortoq,100,GL,1570050519,28,60.72,-46.03,13.0,8.2
